event_type,failure_reason,amount,historical_action,ml_action,historical_net_value,ml_expected_net_value,ml_true_net_value,oracle_net_value
subscription_failure,authentication_failure,756.43,retry,payment_update,564.4312501367283,177.52712208142697,559.1051582341015,564.4312501367283
overdue_invoice,bank_decline,1631.95,reminder,payment_update,1223.3051291230754,526.0661281382706,1210.352905465576,1223.3051291230754
checkout_abandonment,expired_card,1101.76,reminder,payment_update,693.4202756659053,270.85774990933635,780.5341804008415,780.5341804008415
checkout_abandonment,technical_failure,1539.43,retry,personalized_offer,989.1043996041446,343.1168380793379,929.8901358931076,989.1043996041446
payment_failure,authentication_failure,12113.52,reminder,payment_update,7779.129076129354,1884.858591515847,7669.626427167488,8335.420574817288
payment_failure,unknown,1720.1,payment_update,payment_update,1037.8432418108384,419.6899240595306,1037.8432418108384,1039.2040146800443
overdue_invoice,technical_failure,1733.11,personalized_offer,reminder,-138.6488,460.3614590622026,1101.8074743937077,1108.3499824987302
payment_failure,unknown,4311.86,reminder,reminder,3378.8984057801417,1266.0636332115482,3378.8984057801417,3378.8984057801417
payment_failure,unknown,996.33,reminder,payment_update,485.2874871936804,208.88126833963057,484.0161227530662,555.0655965583126
checkout_abandonment,authentication_failure,693.37,reminder,reminder,485.0063095086813,150.1142136669423,485.0063095086813,485.0063095086813
overdue_invoice,expired_card,1195.34,payment_update,payment_update,931.9724367177164,283.2648404693956,931.9724367177164,989.85020993855
payment_failure,unknown,715.63,no_action,retry,334.4115306222537,120.08702607246454,421.5789437331212,434.4245554279041
overdue_invoice,bank_decline,474.18,reminder,payment_update,-1.0,98.02880177719706,294.1187080941166,339.2239922840176
overdue_invoice,technical_failure,2475.81,retry,retry,1694.199893443273,393.48510746572686,1694.199893443273,1842.789831521315
payment_failure,unknown,4824.31,personalized_offer,retry,-385.94480000000004,851.8783216270097,3032.5931022178584,3445.849307556076
payment_failure,insufficient_funds,1544.13,reminder,reminder,913.1762629265454,337.5797980094618,913.1762629265454,995.945039247693
subscription_failure,authentication_failure,536.36,payment_update,payment_update,-1.0,79.29605321483353,379.2676381880452,399.3211660418526
payment_failure,authentication_failure,1946.36,reminder,reminder,1255.7834841379713,456.9964998548309,1255.7834841379713,1255.7834841379713
payment_failure,authentication_failure,3509.52,no_action,reminder,2400.077295973823,657.2898867054641,2905.9507719379526,2905.9507719379526
subscription_failure,authentication_failure,3196.08,personalized_offer,payment_update,2314.3899644149874,536.0135653471898,2487.465307387969,2487.465307387969
checkout_abandonment,expired_card,855.53,no_action,payment_update,0.0,207.65614703812926,629.9111942027353,629.9111942027353
payment_failure,expired_card,1988.69,personalized_offer,payment_update,1377.4700558007476,475.51935278877977,1645.4324504083263,1645.4324504083263
subscription_failure,unknown,335.75,payment_update,payment_update,239.94629619099487,97.76956508233968,239.94629619099487,239.94629619099487
